,time,rainfall
0,일시,1분 강수량(mm)
595,2019-07-05 9:55,0
600,2019-07-05 10:00,0
605,2019-07-05 10:05,0
610,2019-07-05 10:10,0
615,2019-07-05 10:15,0
620,2019-07-05 10:20,0
625,2019-07-05 10:25,0
630,2019-07-05 10:30,0
635,2019-07-05 10:35,0
640,2019-07-05 10:40,0
645,2019-07-05 10:45,0
650,2019-07-05 10:50,0
655,2019-07-05 10:55,0
660,2019-07-05 11:00,0
665,2019-07-05 11:05,0
670,2019-07-05 11:10,0
675,2019-07-05 11:15,0
680,2019-07-05 11:20,0
685,2019-07-05 11:25,0
690,2019-07-05 11:30,0
695,2019-07-05 11:35,0
700,2019-07-05 11:40,0
705,2019-07-05 11:45,0
710,2019-07-05 11:50,0
715,2019-07-05 11:55,0
720,2019-07-05 12:00,0
725,2019-07-05 12:05,0
730,2019-07-05 12:10,0
735,2019-07-05 12:15,0
740,2019-07-05 12:20,0
745,2019-07-05 12:25,0
750,2019-07-05 12:30,0
755,2019-07-05 12:35,0
760,2019-07-05 12:40,0
765,2019-07-05 12:45,0
770,2019-07-05 12:50,0
775,2019-07-05 12:55,0
780,2019-07-05 13:00,0
785,2019-07-05 13:05,0
790,2019-07-05 13:10,0
795,2019-07-05 13:15,0
800,2019-07-05 13:20,0
805,2019-07-05 13:25,0
810,2019-07-05 13:30,0
815,2019-07-05 13:35,0
820,2019-07-05 13:40,0
825,2019-07-05 13:45,0
830,2019-07-05 13:50,0
835,2019-07-05 13:55,0
840,2019-07-05 14:00,0
845,2019-07-05 14:05,0
850,2019-07-05 14:10,0
855,2019-07-05 14:15,0
860,2019-07-05 14:20,0
865,2019-07-05 14:25,0
870,2019-07-05 14:30,0
875,2019-07-05 14:35,0
880,2019-07-05 14:40,0
885,2019-07-05 14:45,0
890,2019-07-05 14:50,0
895,2019-07-05 14:55,0
900,2019-07-05 15:00,0
905,2019-07-05 15:05,0
910,2019-07-05 15:10,0
915,2019-07-05 15:15,0
920,2019-07-05 15:20,0
925,2019-07-05 15:25,0
930,2019-07-05 15:30,0
935,2019-07-05 15:35,0
940,2019-07-05 15:40,0
945,2019-07-05 15:45,0
950,2019-07-05 15:50,0
955,2019-07-05 15:55,0
960,2019-07-05 16:00,0
965,2019-07-05 16:05,0
970,2019-07-05 16:10,0
975,2019-07-05 16:15,0
980,2019-07-05 16:20,0
985,2019-07-05 16:25,0
990,2019-07-05 16:30,0
995,2019-07-05 16:35,0
1000,2019-07-05 16:40,0
1005,2019-07-05 16:45,0
1010,2019-07-05 16:50,0
1015,2019-07-05 16:55,0
1020,2019-07-05 17:00,0
1025,2019-07-05 17:05,0
1030,2019-07-05 17:10,0
1035,2019-07-05 17:15,0
1040,2019-07-05 17:20,0
1045,2019-07-05 17:25,0
1050,2019-07-05 17:30,0
1055,2019-07-05 17:35,0
1060,2019-07-05 17:40,0
1065,2019-07-05 17:45,0
1070,2019-07-05 17:50,0
1075,2019-07-05 17:55,0
1080,2019-07-05 18:00,0
1085,2019-07-05 18:05,0
1090,2019-07-05 18:10,0
1095,2019-07-05 18:15,0
1100,2019-07-05 18:20,0
1105,2019-07-05 18:25,0
1110,2019-07-05 18:30,0
1115,2019-07-05 18:35,0
1120,2019-07-05 18:40,0
1125,2019-07-05 18:45,0
1130,2019-07-05 18:50,0
1135,2019-07-05 18:55,0
1140,2019-07-05 19:00,0
1145,2019-07-05 19:05,0
1150,2019-07-05 19:10,0
1155,2019-07-05 19:15,0
1160,2019-07-05 19:20,0
1165,2019-07-05 19:25,0
1170,2019-07-05 19:30,0
1175,2019-07-05 19:35,0
1180,2019-07-05 19:40,0
1185,2019-07-05 19:45,0
1190,2019-07-05 19:50,0
1195,2019-07-05 19:55,0
1200,2019-07-05 20:00,0
1205,2019-07-05 20:05,0
1210,2019-07-05 20:10,0
1215,2019-07-05 20:15,0
1220,2019-07-05 20:20,0
1225,2019-07-05 20:25,0
1230,2019-07-05 20:30,0
1235,2019-07-05 20:35,0
1240,2019-07-05 20:40,0
1245,2019-07-05 20:45,0
1250,2019-07-05 20:50,0
1255,2019-07-05 20:55,0
1260,2019-07-05 21:00,0
1265,2019-07-05 21:05,0
1270,2019-07-05 21:10,0
1275,2019-07-05 21:15,0
1280,2019-07-05 21:20,0
1285,2019-07-05 21:25,0
1290,2019-07-05 21:30,0
1295,2019-07-05 21:35,0
1300,2019-07-05 21:40,0
1305,2019-07-05 21:45,0
1310,2019-07-05 21:50,0
1315,2019-07-05 21:55,0
1320,2019-07-05 22:00,0
1325,2019-07-05 22:05,0
1330,2019-07-05 22:10,0
1335,2019-07-05 22:15,0
1340,2019-07-05 22:20,0
1345,2019-07-05 22:25,0
1350,2019-07-05 22:30,0
1355,2019-07-05 22:35,0
1360,2019-07-05 22:40,0
1365,2019-07-05 22:45,0
1370,2019-07-05 22:50,0
1375,2019-07-05 22:55,0
1380,2019-07-05 23:00,0
1385,2019-07-05 23:05,0
1390,2019-07-05 23:10,0
1395,2019-07-05 23:15,0
1400,2019-07-05 23:20,0
1405,2019-07-05 23:25,0
1410,2019-07-05 23:30,0
1415,2019-07-05 23:35,0
1420,2019-07-05 23:40,0
1425,2019-07-05 23:45,0
1430,2019-07-05 23:50,0
1435,2019-07-05 23:55,0
1440,2019-07-06 0:00,0
5,2019-07-06 0:05,0
10,2019-07-06 0:10,0
15,2019-07-06 0:15,0
20,2019-07-06 0:20,0
25,2019-07-06 0:25,0
30,2019-07-06 0:30,0
35,2019-07-06 0:35,0
40,2019-07-06 0:40,0
45,2019-07-06 0:45,0
50,2019-07-06 0:50,0
55,2019-07-06 0:55,0
60,2019-07-06 1:00,0
65,2019-07-06 1:05,0
70,2019-07-06 1:10,0
75,2019-07-06 1:15,0
80,2019-07-06 1:20,0
85,2019-07-06 1:25,0
90,2019-07-06 1:30,0
95,2019-07-06 1:35,0
100,2019-07-06 1:40,0
105,2019-07-06 1:45,0
110,2019-07-06 1:50,0
115,2019-07-06 1:55,0
120,2019-07-06 2:00,0
125,2019-07-06 2:05,0
130,2019-07-06 2:10,0
135,2019-07-06 2:15,0
140,2019-07-06 2:20,0
145,2019-07-06 2:25,0
150,2019-07-06 2:30,0
155,2019-07-06 2:35,0
160,2019-07-06 2:40,0
165,2019-07-06 2:45,0
170,2019-07-06 2:50,0
175,2019-07-06 2:55,0
180,2019-07-06 3:00,0
185,2019-07-06 3:05,0
190,2019-07-06 3:10,0
195,2019-07-06 3:15,0
200,2019-07-06 3:20,0
205,2019-07-06 3:25,0
210,2019-07-06 3:30,0
215,2019-07-06 3:35,0
220,2019-07-06 3:40,0
225,2019-07-06 3:45,0
230,2019-07-06 3:50,0
235,2019-07-06 3:55,0
240,2019-07-06 4:00,0
245,2019-07-06 4:05,0
250,2019-07-06 4:10,0
255,2019-07-06 4:15,0
260,2019-07-06 4:20,0
265,2019-07-06 4:25,0
270,2019-07-06 4:30,0
275,2019-07-06 4:35,0
280,2019-07-06 4:40,0
285,2019-07-06 4:45,0
290,2019-07-06 4:50,0
295,2019-07-06 4:55,0
300,2019-07-06 5:00,0
305,2019-07-06 5:05,0
310,2019-07-06 5:10,0
315,2019-07-06 5:15,0
320,2019-07-06 5:20,0
325,2019-07-06 5:25,0
330,2019-07-06 5:30,0
335,2019-07-06 5:35,0
340,2019-07-06 5:40,0
345,2019-07-06 5:45,0
350,2019-07-06 5:50,0
355,2019-07-06 5:55,0
360,2019-07-06 6:00,0
365,2019-07-06 6:05,0
370,2019-07-06 6:10,0
375,2019-07-06 6:15,0
380,2019-07-06 6:20,0
385,2019-07-06 6:25,0
390,2019-07-06 6:30,0
395,2019-07-06 6:35,0
400,2019-07-06 6:40,0
405,2019-07-06 6:45,0
410,2019-07-06 6:50,0
415,2019-07-06 6:55,0
420,2019-07-06 7:00,0
425,2019-07-06 7:05,0
430,2019-07-06 7:10,0
435,2019-07-06 7:15,0
440,2019-07-06 7:20,0
445,2019-07-06 7:25,0
450,2019-07-06 7:30,0
455,2019-07-06 7:35,0
460,2019-07-06 7:40,0
465,2019-07-06 7:45,0
470,2019-07-06 7:50,0
475,2019-07-06 7:55,0
480,2019-07-06 8:00,0
485,2019-07-06 8:05,0
490,2019-07-06 8:10,0
495,2019-07-06 8:15,0
500,2019-07-06 8:20,0
505,2019-07-06 8:25,0
510,2019-07-06 8:30,0
515,2019-07-06 8:35,0
520,2019-07-06 8:40,0
525,2019-07-06 8:45,0
530,2019-07-06 8:50,0
535,2019-07-06 8:55,0
540,2019-07-06 9:00,0
545,2019-07-06 9:05,0
550,2019-07-06 9:10,0
555,2019-07-06 9:15,0
560,2019-07-06 9:20,0
565,2019-07-06 9:25,0
570,2019-07-06 9:30,0
575,2019-07-06 9:35,0
580,2019-07-06 9:40,0
585,2019-07-06 9:45,0
590,2019-07-06 9:50,0
595,2019-07-06 9:55,0
600,2019-07-06 10:00,0
605,2019-07-06 10:05,0
610,2019-07-06 10:10,0
615,2019-07-06 10:15,0
620,2019-07-06 10:20,0
625,2019-07-06 10:25,0
630,2019-07-06 10:30,0
635,2019-07-06 10:35,0
640,2019-07-06 10:40,0
645,2019-07-06 10:45,0
650,2019-07-06 10:50,0
655,2019-07-06 10:55,0
660,2019-07-06 11:00,0
665,2019-07-06 11:05,0
670,2019-07-06 11:10,0
675,2019-07-06 11:15,0
680,2019-07-06 11:20,0
685,2019-07-06 11:25,0
690,2019-07-06 11:30,0
695,2019-07-06 11:35,0
700,2019-07-06 11:40,0
705,2019-07-06 11:45,0
710,2019-07-06 11:50,0
715,2019-07-06 11:55,0
720,2019-07-06 12:00,0
725,2019-07-06 12:05,0
730,2019-07-06 12:10,0
735,2019-07-06 12:15,0
740,2019-07-06 12:20,0
745,2019-07-06 12:25,0
750,2019-07-06 12:30,0
755,2019-07-06 12:35,0
760,2019-07-06 12:40,0
765,2019-07-06 12:45,0
770,2019-07-06 12:50,0
775,2019-07-06 12:55,0
780,2019-07-06 13:00,0
785,2019-07-06 13:05,0
790,2019-07-06 13:10,0
795,2019-07-06 13:15,0
800,2019-07-06 13:20,0
805,2019-07-06 13:25,0
810,2019-07-06 13:30,0
815,2019-07-06 13:35,0
820,2019-07-06 13:40,0
825,2019-07-06 13:45,0
830,2019-07-06 13:50,0
835,2019-07-06 13:55,0
840,2019-07-06 14:00,0
845,2019-07-06 14:05,0
850,2019-07-06 14:10,0
855,2019-07-06 14:15,0
860,2019-07-06 14:20,0
865,2019-07-06 14:25,0
870,2019-07-06 14:30,0
875,2019-07-06 14:35,0
880,2019-07-06 14:40,0
885,2019-07-06 14:45,0
890,2019-07-06 14:50,0
895,2019-07-06 14:55,0
900,2019-07-06 15:00,0
905,2019-07-06 15:05,0
910,2019-07-06 15:10,0
915,2019-07-06 15:15,0
920,2019-07-06 15:20,0
925,2019-07-06 15:25,0
930,2019-07-06 15:30,0
935,2019-07-06 15:35,0
940,2019-07-06 15:40,0
945,2019-07-06 15:45,0
950,2019-07-06 15:50,0
955,2019-07-06 15:55,0
960,2019-07-06 16:00,0
965,2019-07-06 16:05,0
970,2019-07-06 16:10,0
975,2019-07-06 16:15,0
980,2019-07-06 16:20,0
985,2019-07-06 16:25,0
990,2019-07-06 16:30,0
995,2019-07-06 16:35,0
1000,2019-07-06 16:40,0
1005,2019-07-06 16:45,0
1010,2019-07-06 16:50,0
1015,2019-07-06 16:55,0
1020,2019-07-06 17:00,0
1025,2019-07-06 17:05,0
1030,2019-07-06 17:10,0
1035,2019-07-06 17:15,0
1040,2019-07-06 17:20,0
1045,2019-07-06 17:25,0
1050,2019-07-06 17:30,0
1055,2019-07-06 17:35,0
1060,2019-07-06 17:40,0
1065,2019-07-06 17:45,0
1070,2019-07-06 17:50,0
1075,2019-07-06 17:55,0
1080,2019-07-06 18:00,0
1085,2019-07-06 18:05,0
1090,2019-07-06 18:10,0
1095,2019-07-06 18:15,0
1100,2019-07-06 18:20,0
1105,2019-07-06 18:25,0
1110,2019-07-06 18:30,0
1115,2019-07-06 18:35,0
1120,2019-07-06 18:40,0
1125,2019-07-06 18:45,0
1130,2019-07-06 18:50,0
1135,2019-07-06 18:55,0
1140,2019-07-06 19:00,0
1145,2019-07-06 19:05,0
1150,2019-07-06 19:10,0
1155,2019-07-06 19:15,0
1160,2019-07-06 19:20,0
1165,2019-07-06 19:25,0
1170,2019-07-06 19:30,0
1175,2019-07-06 19:35,0
1180,2019-07-06 19:40,0
1185,2019-07-06 19:45,0
1190,2019-07-06 19:50,0
1195,2019-07-06 19:55,0
1200,2019-07-06 20:00,0
1205,2019-07-06 20:05,0
1210,2019-07-06 20:10,0
1215,2019-07-06 20:15,0
1220,2019-07-06 20:20,0
1225,2019-07-06 20:25,0
1230,2019-07-06 20:30,0
1235,2019-07-06 20:35,0
1240,2019-07-06 20:40,0
1245,2019-07-06 20:45,0
1250,2019-07-06 20:50,0
1255,2019-07-06 20:55,0
1260,2019-07-06 21:00,0
1265,2019-07-06 21:05,0
1270,2019-07-06 21:10,0
1275,2019-07-06 21:15,0
1280,2019-07-06 21:20,0
1285,2019-07-06 21:25,0
1290,2019-07-06 21:30,0
1295,2019-07-06 21:35,0
1300,2019-07-06 21:40,0
1305,2019-07-06 21:45,0
1310,2019-07-06 21:50,0
1315,2019-07-06 21:55,0
1320,2019-07-06 22:00,0
1325,2019-07-06 22:05,0
1330,2019-07-06 22:10,0
1335,2019-07-06 22:15,0
1340,2019-07-06 22:20,0
1345,2019-07-06 22:25,0
1350,2019-07-06 22:30,0
1355,2019-07-06 22:35,0
1360,2019-07-06 22:40,0
1365,2019-07-06 22:45,0
1370,2019-07-06 22:50,0
1375,2019-07-06 22:55,0
1380,2019-07-06 23:00,0
1385,2019-07-06 23:05,0
1390,2019-07-06 23:10,0
1395,2019-07-06 23:15,0
1400,2019-07-06 23:20,0
1405,2019-07-06 23:25,0
1410,2019-07-06 23:30,0
1415,2019-07-06 23:35,0
1420,2019-07-06 23:40,0
1425,2019-07-06 23:45,0
1430,2019-07-06 23:50,0
1435,2019-07-06 23:55,0
1440,2019-07-07 0:00,0
5,2019-07-07 0:05,0
10,2019-07-07 0:10,0
15,2019-07-07 0:15,0
20,2019-07-07 0:20,0
25,2019-07-07 0:25,0
30,2019-07-07 0:30,0
35,2019-07-07 0:35,0
40,2019-07-07 0:40,0
45,2019-07-07 0:45,0
50,2019-07-07 0:50,0
55,2019-07-07 0:55,0
60,2019-07-07 1:00,0
65,2019-07-07 1:05,0
70,2019-07-07 1:10,0
75,2019-07-07 1:15,0
80,2019-07-07 1:20,0
85,2019-07-07 1:25,0
90,2019-07-07 1:30,0
95,2019-07-07 1:35,0
100,2019-07-07 1:40,0
105,2019-07-07 1:45,0
110,2019-07-07 1:50,0
115,2019-07-07 1:55,0
120,2019-07-07 2:00,0
125,2019-07-07 2:05,0
130,2019-07-07 2:10,0
135,2019-07-07 2:15,0
140,2019-07-07 2:20,0
145,2019-07-07 2:25,0
150,2019-07-07 2:30,0
155,2019-07-07 2:35,0
160,2019-07-07 2:40,0
165,2019-07-07 2:45,0
170,2019-07-07 2:50,0
175,2019-07-07 2:55,0
180,2019-07-07 3:00,0
185,2019-07-07 3:05,0
190,2019-07-07 3:10,0
195,2019-07-07 3:15,0
200,2019-07-07 3:20,0
205,2019-07-07 3:25,0
210,2019-07-07 3:30,0
215,2019-07-07 3:35,0
220,2019-07-07 3:40,0
225,2019-07-07 3:45,0
230,2019-07-07 3:50,0
235,2019-07-07 3:55,0
240,2019-07-07 4:00,0
245,2019-07-07 4:05,0
250,2019-07-07 4:10,0
255,2019-07-07 4:15,0
260,2019-07-07 4:20,0
265,2019-07-07 4:25,0
270,2019-07-07 4:30,0
275,2019-07-07 4:35,0
280,2019-07-07 4:40,0
285,2019-07-07 4:45,0
290,2019-07-07 4:50,0
295,2019-07-07 4:55,0
300,2019-07-07 5:00,0
305,2019-07-07 5:05,0
310,2019-07-07 5:10,0
315,2019-07-07 5:15,0
320,2019-07-07 5:20,0
325,2019-07-07 5:25,0
330,2019-07-07 5:30,0
335,2019-07-07 5:35,0
340,2019-07-07 5:40,0
345,2019-07-07 5:45,0
350,2019-07-07 5:50,0
355,2019-07-07 5:55,0
360,2019-07-07 6:00,0
365,2019-07-07 6:05,0
370,2019-07-07 6:10,0
375,2019-07-07 6:15,0
380,2019-07-07 6:20,0
385,2019-07-07 6:25,0
390,2019-07-07 6:30,0
395,2019-07-07 6:35,0
400,2019-07-07 6:40,0
405,2019-07-07 6:45,0
410,2019-07-07 6:50,0
415,2019-07-07 6:55,0
420,2019-07-07 7:00,0
425,2019-07-07 7:05,0
430,2019-07-07 7:10,0
435,2019-07-07 7:15,0
440,2019-07-07 7:20,0
445,2019-07-07 7:25,0
450,2019-07-07 7:30,0
455,2019-07-07 7:35,0
460,2019-07-07 7:40,0
465,2019-07-07 7:45,0
470,2019-07-07 7:50,0
475,2019-07-07 7:55,0
480,2019-07-07 8:00,0
485,2019-07-07 8:05,0
490,2019-07-07 8:10,0
495,2019-07-07 8:15,0
500,2019-07-07 8:20,0
505,2019-07-07 8:25,0
510,2019-07-07 8:30,0
515,2019-07-07 8:35,0
520,2019-07-07 8:40,0
525,2019-07-07 8:45,0
530,2019-07-07 8:50,0
535,2019-07-07 8:55,0
540,2019-07-07 9:00,0
545,2019-07-07 9:05,0
550,2019-07-07 9:10,0
555,2019-07-07 9:15,0
560,2019-07-07 9:20,0
565,2019-07-07 9:25,0
570,2019-07-07 9:30,0
575,2019-07-07 9:35,0
580,2019-07-07 9:40,0
585,2019-07-07 9:45,0
590,2019-07-07 9:50,0
595,2019-07-07 9:55,0
600,2019-07-07 10:00,0
605,2019-07-07 10:05,0
610,2019-07-07 10:10,0
615,2019-07-07 10:15,0
620,2019-07-07 10:20,0
625,2019-07-07 10:25,0
630,2019-07-07 10:30,0
635,2019-07-07 10:35,0
640,2019-07-07 10:40,0
645,2019-07-07 10:45,0
650,2019-07-07 10:50,0
655,2019-07-07 10:55,0
660,2019-07-07 11:00,0
665,2019-07-07 11:05,0
670,2019-07-07 11:10,0
675,2019-07-07 11:15,0
680,2019-07-07 11:20,0
685,2019-07-07 11:25,0
690,2019-07-07 11:30,0
695,2019-07-07 11:35,0
700,2019-07-07 11:40,0
705,2019-07-07 11:45,0
710,2019-07-07 11:50,0
715,2019-07-07 11:55,0
720,2019-07-07 12:00,0
725,2019-07-07 12:05,0
730,2019-07-07 12:10,0
735,2019-07-07 12:15,0
740,2019-07-07 12:20,0
745,2019-07-07 12:25,0
750,2019-07-07 12:30,0
755,2019-07-07 12:35,0
760,2019-07-07 12:40,0
765,2019-07-07 12:45,0
770,2019-07-07 12:50,0
775,2019-07-07 12:55,0
780,2019-07-07 13:00,0
785,2019-07-07 13:05,0
790,2019-07-07 13:10,0
795,2019-07-07 13:15,0
800,2019-07-07 13:20,0
805,2019-07-07 13:25,0
810,2019-07-07 13:30,0
815,2019-07-07 13:35,0
820,2019-07-07 13:40,0
825,2019-07-07 13:45,0
830,2019-07-07 13:50,0
835,2019-07-07 13:55,0
840,2019-07-07 14:00,0
845,2019-07-07 14:05,0
850,2019-07-07 14:10,0
855,2019-07-07 14:15,0
860,2019-07-07 14:20,0
865,2019-07-07 14:25,0
870,2019-07-07 14:30,0
875,2019-07-07 14:35,0
880,2019-07-07 14:40,0
885,2019-07-07 14:45,0
890,2019-07-07 14:50,0
895,2019-07-07 14:55,0
900,2019-07-07 15:00,0
905,2019-07-07 15:05,0
910,2019-07-07 15:10,0
915,2019-07-07 15:15,0
920,2019-07-07 15:20,0
925,2019-07-07 15:25,0
930,2019-07-07 15:30,0
935,2019-07-07 15:35,0
940,2019-07-07 15:40,0
945,2019-07-07 15:45,0
950,2019-07-07 15:50,0
955,2019-07-07 15:55,0
960,2019-07-07 16:00,0
965,2019-07-07 16:05,0
970,2019-07-07 16:10,0
975,2019-07-07 16:15,0
980,2019-07-07 16:20,0
985,2019-07-07 16:25,0
990,2019-07-07 16:30,0
995,2019-07-07 16:35,0
1000,2019-07-07 16:40,0
1005,2019-07-07 16:45,0
1010,2019-07-07 16:50,0
1015,2019-07-07 16:55,0
1020,2019-07-07 17:00,0
1025,2019-07-07 17:05,0
1030,2019-07-07 17:10,0
1035,2019-07-07 17:15,0
1040,2019-07-07 17:20,0
1045,2019-07-07 17:25,0
1050,2019-07-07 17:30,0
1055,2019-07-07 17:35,0
1060,2019-07-07 17:40,0
1065,2019-07-07 17:45,0
1070,2019-07-07 17:50,0
1075,2019-07-07 17:55,0
1080,2019-07-07 18:00,0
1085,2019-07-07 18:05,0
1090,2019-07-07 18:10,0
1095,2019-07-07 18:15,0
1100,2019-07-07 18:20,0
1105,2019-07-07 18:25,0
1110,2019-07-07 18:30,0
1115,2019-07-07 18:35,0
1120,2019-07-07 18:40,0
1125,2019-07-07 18:45,0
1130,2019-07-07 18:50,0
1135,2019-07-07 18:55,0
1140,2019-07-07 19:00,0
1145,2019-07-07 19:05,0
1150,2019-07-07 19:10,0
1155,2019-07-07 19:15,0
1160,2019-07-07 19:20,0
1165,2019-07-07 19:25,0
1170,2019-07-07 19:30,0
1175,2019-07-07 19:35,0
1180,2019-07-07 19:40,0
1185,2019-07-07 19:45,0
1190,2019-07-07 19:50,0
1195,2019-07-07 19:55,0
1200,2019-07-07 20:00,0
1205,2019-07-07 20:05,0
1210,2019-07-07 20:10,0
1215,2019-07-07 20:15,0
1220,2019-07-07 20:20,0
1225,2019-07-07 20:25,0
1230,2019-07-07 20:30,0
1235,2019-07-07 20:35,0
1240,2019-07-07 20:40,0
1245,2019-07-07 20:45,0
1250,2019-07-07 20:50,0
1255,2019-07-07 20:55,0
1260,2019-07-07 21:00,0
1265,2019-07-07 21:05,0
1270,2019-07-07 21:10,0
1275,2019-07-07 21:15,0
1280,2019-07-07 21:20,0
1285,2019-07-07 21:25,0
1290,2019-07-07 21:30,0
1295,2019-07-07 21:35,0
1300,2019-07-07 21:40,0
1305,2019-07-07 21:45,0
1310,2019-07-07 21:50,0
1315,2019-07-07 21:55,0
1320,2019-07-07 22:00,0
1325,2019-07-07 22:05,0
1330,2019-07-07 22:10,0
1335,2019-07-07 22:15,0
1340,2019-07-07 22:20,0
1345,2019-07-07 22:25,0
1350,2019-07-07 22:30,0
1355,2019-07-07 22:35,0
1360,2019-07-07 22:40,0
1365,2019-07-07 22:45,0
1370,2019-07-07 22:50,0
1375,2019-07-07 22:55,0
1380,2019-07-07 23:00,0
1385,2019-07-07 23:05,0
1390,2019-07-07 23:10,0
1395,2019-07-07 23:15,0
1400,2019-07-07 23:20,0
1405,2019-07-07 23:25,0
1410,2019-07-07 23:30,0
1415,2019-07-07 23:35,0
1420,2019-07-07 23:40,0
1425,2019-07-07 23:45,0
1430,2019-07-07 23:50,0
1435,2019-07-07 23:55,0
1440,2019-07-08 0:00,0
5,2019-07-08 0:05,0
10,2019-07-08 0:10,0
15,2019-07-08 0:15,0
20,2019-07-08 0:20,0
25,2019-07-08 0:25,0
30,2019-07-08 0:30,0
35,2019-07-08 0:35,0
40,2019-07-08 0:40,0
45,2019-07-08 0:45,0
50,2019-07-08 0:50,0
55,2019-07-08 0:55,0
60,2019-07-08 1:00,0
65,2019-07-08 1:05,0
70,2019-07-08 1:10,0
75,2019-07-08 1:15,0
80,2019-07-08 1:20,0
85,2019-07-08 1:25,0
90,2019-07-08 1:30,0
95,2019-07-08 1:35,0
100,2019-07-08 1:40,0
105,2019-07-08 1:45,0
110,2019-07-08 1:50,0
115,2019-07-08 1:55,0
120,2019-07-08 2:00,0
125,2019-07-08 2:05,0
130,2019-07-08 2:10,0
135,2019-07-08 2:15,0
140,2019-07-08 2:20,0
145,2019-07-08 2:25,0
150,2019-07-08 2:30,0
155,2019-07-08 2:35,0
160,2019-07-08 2:40,0
165,2019-07-08 2:45,0
170,2019-07-08 2:50,0
175,2019-07-08 2:55,0
180,2019-07-08 3:00,0
185,2019-07-08 3:05,0
190,2019-07-08 3:10,0
195,2019-07-08 3:15,0
200,2019-07-08 3:20,0
205,2019-07-08 3:25,0
210,2019-07-08 3:30,0
215,2019-07-08 3:35,0
220,2019-07-08 3:40,0
225,2019-07-08 3:45,0
230,2019-07-08 3:50,0
235,2019-07-08 3:55,0
240,2019-07-08 4:00,0
245,2019-07-08 4:05,0
250,2019-07-08 4:10,0
255,2019-07-08 4:15,0
260,2019-07-08 4:20,0
265,2019-07-08 4:25,0
270,2019-07-08 4:30,0
275,2019-07-08 4:35,0
280,2019-07-08 4:40,0
285,2019-07-08 4:45,0
290,2019-07-08 4:50,0
295,2019-07-08 4:55,0
300,2019-07-08 5:00,0
305,2019-07-08 5:05,0
310,2019-07-08 5:10,0
315,2019-07-08 5:15,0
320,2019-07-08 5:20,0
325,2019-07-08 5:25,0
330,2019-07-08 5:30,0
335,2019-07-08 5:35,0
340,2019-07-08 5:40,0
345,2019-07-08 5:45,0
350,2019-07-08 5:50,0
355,2019-07-08 5:55,0
360,2019-07-08 6:00,0
365,2019-07-08 6:05,0
370,2019-07-08 6:10,0
375,2019-07-08 6:15,0
380,2019-07-08 6:20,0
385,2019-07-08 6:25,0
390,2019-07-08 6:30,0
395,2019-07-08 6:35,0
400,2019-07-08 6:40,0
405,2019-07-08 6:45,0
410,2019-07-08 6:50,0
415,2019-07-08 6:55,0
420,2019-07-08 7:00,0
425,2019-07-08 7:05,0
430,2019-07-08 7:10,0
435,2019-07-08 7:15,0
440,2019-07-08 7:20,0
445,2019-07-08 7:25,0
450,2019-07-08 7:30,0
455,2019-07-08 7:35,0
460,2019-07-08 7:40,0
465,2019-07-08 7:45,0
470,2019-07-08 7:50,0
475,2019-07-08 7:55,0
480,2019-07-08 8:00,0
485,2019-07-08 8:05,0
490,2019-07-08 8:10,0
495,2019-07-08 8:15,0
500,2019-07-08 8:20,0
505,2019-07-08 8:25,0
510,2019-07-08 8:30,0
515,2019-07-08 8:35,0
520,2019-07-08 8:40,0
525,2019-07-08 8:45,0
530,2019-07-08 8:50,0
535,2019-07-08 8:55,0
540,2019-07-08 9:00,0
545,2019-07-08 9:05,0
550,2019-07-08 9:10,0
555,2019-07-08 9:15,0
560,2019-07-08 9:20,0
565,2019-07-08 9:25,0
570,2019-07-08 9:30,0
575,2019-07-08 9:35,0
580,2019-07-08 9:40,0
585,2019-07-08 9:45,0
590,2019-07-08 9:50,0
595,2019-07-08 9:55,0
600,2019-07-08 10:00,0
605,2019-07-08 10:05,0
610,2019-07-08 10:10,0
615,2019-07-08 10:15,0
620,2019-07-08 10:20,0
625,2019-07-08 10:25,0
630,2019-07-08 10:30,0
635,2019-07-08 10:35,0
640,2019-07-08 10:40,0
645,2019-07-08 10:45,0
650,2019-07-08 10:50,0
655,2019-07-08 10:55,0
660,2019-07-08 11:00,0
665,2019-07-08 11:05,0
670,2019-07-08 11:10,0
675,2019-07-08 11:15,0
680,2019-07-08 11:20,0
685,2019-07-08 11:25,0
690,2019-07-08 11:30,0
695,2019-07-08 11:35,0
700,2019-07-08 11:40,0
705,2019-07-08 11:45,0
710,2019-07-08 11:50,0
715,2019-07-08 11:55,0
720,2019-07-08 12:00,0
725,2019-07-08 12:05,0
730,2019-07-08 12:10,0
735,2019-07-08 12:15,0
740,2019-07-08 12:20,0
745,2019-07-08 12:25,0
750,2019-07-08 12:30,0
755,2019-07-08 12:35,0
760,2019-07-08 12:40,0
765,2019-07-08 12:45,0
770,2019-07-08 12:50,0
775,2019-07-08 12:55,0
780,2019-07-08 13:00,0
785,2019-07-08 13:05,0
790,2019-07-08 13:10,0
795,2019-07-08 13:15,0
800,2019-07-08 13:20,0
805,2019-07-08 13:25,0
810,2019-07-08 13:30,0
815,2019-07-08 13:35,0
820,2019-07-08 13:40,0
825,2019-07-08 13:45,0
830,2019-07-08 13:50,0
835,2019-07-08 13:55,0
